ETORO,LSEG
AAPL,AAPL.OQ
AMZN,AMZN.OQ
BA,BA.N
BA.L,BAES.L
CEBP.DE,CEBP.DE
CNDX.L,CNDX.L
DJGTEEX.DE,DJGTEEX.DE
GE,GE.N
GOOG,GOOG.OQ
GOOGL,GOOGL.OQ
IDEM,IDEM.L
IJPE,IJPE.L
IUS3.DE,IUS3.DE
META,META.OQ
MSFT,MSFT.OQ
NVDA,NVDA.OQ
RHM.DE,RHMG.DE
SAF,SAF.PA
SPY4.DE,SPY4.DE
SPY5.L,SPY5.L
SX5EEX.DE,STX50EEX.DE
TSLA,TSLA.OQ
TSM,TSM.N
USCP.DE,USCP.DE
VERX.DE,VERX.DE
VVSM.DE,VVSM.DE
XDEW.DE,XDEW.DE
ZPRR.DE,ZPRR.DE
LMT,LMT.N
BRK.B,BRKb.N
INTC,INTC.OQ
SXXPIEX.DE,STOXXIEX.DE
IAG.l,ICAG.L
NKE,NKE
DAL,DAL
PLTR,PLTR.OQ
MA,MA
CRWD,CRWD.OQ
SAIA,SAIA.OQ
BAC,BAC
COF,COF
MANH,MANH.OQ
WERN,WERN.OQ
NFLX,NFLX.OQ
DVA,DVA
FRO,FRO
DHT,DHT
JBHT,JBHT.OQ
UPS,UPS
BABA,BABA.K
SNOW,SNOW.K
VRSN,VRSN.OQ
XPO,XPO
UNP,UNP
GXO,GXO
DPZ,DPZ.OQ
NU,NU
PDD,PDD.OQ
CHRW,CHRW.OQ
UBER,UBER.K
CVX,CVX
V,V
CNI,CNI
PANW,PANW.OQ
NSC,NSC
LSXMK,LSXMK.O^I24
AXP,AXP
SBLK,SBLK.O
SIRI,SIRI.O
FND,FND
R,R
ARM,ARM.OQ
HUBG,HUBG.OQ
CSX,CSX.OQ
CHTR,CHTR.OQ
EXPD,EXPD.N
LLYVA,LLYVA.OQ
LPX,LPX
GOGL.US,GOGL.O
CB,CB
DHL.DE,DHLn.DE
ALLY,ALLY.K
KEX,KEX
KHC,KHC.O
ODFL,ODFL.OQ
ORCL,ORCL.K
KR,KR
STZ,STZ
CRM,CRM
AON,AON
LSXMA,LSXMA.O^I24
SOLB.BR,SOLB.BR
QCOM,QCOM.OQ
LPG,LPG.N
UBS,UBS
ASML,ASML.O
INSW,INSW.K
ARCB,ARCB.O
LSTR,LSTR.O
MAERSKB.CO,MAERSKb.CO
GNK.US,GNK
UCB.BR,UCB.BR
AMAT,AMAT.O
MU,MU.O
TMUS,TMUS.OQ
AVGO,AVGO.OQ
DSV,DSV.CO
TMO,TMO
MCO,MCO
CP,CP
NOW,NOW
C,C
LLYVK,LLYVK.OQ
ICGA.DE,ICGA.DE
TFII,TFII.K
AMD,AMD.OQ
OXY,OXY
FDX,FDX
STNG,STNG.N
KO,KO
ADBE,ADBE.OQ
VIE,VIE.PA
TNK,TNK
